Generation: 80
1, 9, -212, {'epochs': 208, 'units1': 210, 'act1': 'tanh', 'units2': 38, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 18, -209, {'epochs': 208, 'units1': 130, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 219, 'units1': 128, 'act1': 'linear', 'units2': 213, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 35, -190, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 23, -199, {'epochs': 219, 'units1': 208, 'act1': 'linear', 'units2': 37, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 224, 'units1': 18, 'act1': 'tanh', 'units2': 246, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 23, -167, {'epochs': 0, 'units1': 194, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 18, -194, {'epochs': 203, 'units1': 240, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -204, {'epochs': 278, 'units1': 215, 'act1': 'linear', 'units2': 236, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 93, {'epochs': 208, 'units1': 130, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 208, 'units1': 130, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
2, 211, 185, {'epochs': 192, 'units1': 242, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 280, 'units1': 312, 'act1': 'tanh', 'units2': 244, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 42, -205, {'epochs': 194, 'units1': 247, 'act1': 'linear', 'units2': 187, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -189, {'epochs': 210, 'units1': 135, 'act1': 'linear', 'units2': 219, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -545, {'epochs': 192, 'units1': 242, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
4, 67, 1352, {'epochs': 208, 'units1': 130, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 25, -195, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -519, {'epochs': 192, 'units1': 242, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 17, -196, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 25, -192, {'epochs': 208, 'units1': 210, 'act1': 'linear', 'units2': 38, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 22, -195, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 91, {'epochs': 200, 'units1': 302, 'act1': 'linear', 'units2': 272, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 224, 'units1': 18, 'act1': 'linear', 'units2': 246, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 99, -157, {'epochs': 0, 'units1': 194, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 18, -197, {'epochs': 203, 'units1': 240, 'act1': 'linear', 'units2': 181, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 208, 'units1': 210, 'act1': 'tanh', 'units2': 38, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -514, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
2, 91, 334, {'epochs': 208, 'units1': 210, 'act1': 'linear', 'units2': 38, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 37, -189, {'epochs': 235, 'units1': 16, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -196, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 14, -173, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 0, 'units1': 194, 'act1': 'tanh', 'units2': 22, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
3, 220, 866, {'epochs': 210, 'units1': 135, 'act1': 'tanh', 'units2': 219, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 38, -191, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 192, 'units1': 242, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 20, -208, {'epochs': 210, 'units1': 215, 'act1': 'linear', 'units2': 43, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 203, 'units1': 240, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 16, -201, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 97, {'epochs': 192, 'units1': 242, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 19, -198, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 14, -184, {'epochs': 224, 'units1': 18, 'act1': 'linear', 'units2': 246, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -556, {'epochs': 208, 'units1': 210, 'act1': 'tanh', 'units2': 38, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 219, 'units1': 128, 'act1': 'linear', 'units2': 213, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
