Generation: 87
1, 9, -212, {'epochs': 62, 'units1': 215, 'act1': 'linear', 'units2': 82, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 203, 'units1': 32, 'act1': 'tanh', 'units2': 21, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 235, 'units1': 16, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -194, {'epochs': 101, 'units1': 279, 'act1': 'tanh', 'units2': 40, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 116, {'epochs': 238, 'units1': 20, 'act1': 'linear', 'units2': 246, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 107, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
7, 51, 2843, {'epochs': 192, 'units1': 34, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 21, -221, {'epochs': 219, 'units1': 128, 'act1': 'linear', 'units2': 213, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 206, 'units1': 36, 'act1': 'tanh', 'units2': 22, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 49, -192, {'epochs': 107, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 18, -191, {'epochs': 27, 'units1': 48, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 32, -172, {'epochs': 192, 'units1': 34, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 28, -192, {'epochs': 219, 'units1': 128, 'act1': 'tanh', 'units2': 213, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 27, 'units1': 48, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 213, 'units1': 135, 'act1': 'linear', 'units2': 216, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 203, 'units1': 240, 'act1': 'linear', 'units2': 181, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 219, 'units1': 208, 'act1': 'linear', 'units2': 37, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 10, -183, {'epochs': 219, 'units1': 128, 'act1': 'linear', 'units2': 213, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 219, 'units1': 128, 'act1': 'linear', 'units2': 213, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -196, {'epochs': 235, 'units1': 32, 'act1': 'linear', 'units2': 5, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -164, {'epochs': 208, 'units1': 130, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -200, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 203, 'units1': 32, 'act1': 'tanh', 'units2': 21, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 192, 'units1': 34, 'act1': 'tanh', 'units2': 22, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
