Generation: 58
6, 109, 2415, {'epochs': 128, 'units1': 162, 'act1': 'tanh', 'units2': 134, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 15, 312, {'epochs': 146, 'units1': 19, 'act1': 'tanh', 'units2': 252, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 194, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 21, -197, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -186, {'epochs': 128, 'units1': 162, 'act1': 'tanh', 'units2': 134, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -279, {'epochs': 234, 'units1': 76, 'act1': 'linear', 'units2': 55, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 119, {'epochs': 154, 'units1': 76, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
4, 251, 965, {'epochs': 202, 'units1': 252, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 192, 'units1': 146, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 157, 'units1': 76, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 19, -213, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 138, 'units1': 76, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 138, 'units1': 76, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -535, {'epochs': 205, 'units1': 252, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -194, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 230, 'units1': 67, 'act1': 'tanh', 'units2': 310, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -545, {'epochs': 156, 'units1': 74, 'act1': 'tanh', 'units2': 190, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -548, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 128, 'units1': 66, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 146, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 28, -192, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 196, 'units1': 157, 'act1': 'linear', 'units2': 216, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -194, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
2, 10, 303, {'epochs': 154, 'units1': 76, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
